,Num_Cashiers,Num_Servers,Num_Ushers,Average_Wait_Minutes,Average_Wait_Seconds
446,3,12,6,35,4
447,3,12,7,34,28
448,3,12,8,33,10
449,3,12,9,33,9
450,3,13,1,33,16
451,3,13,2,33,8
452,3,13,3,32,32
453,3,13,4,33,9
454,3,13,5,33,20
455,3,13,6,31,45
456,3,13,7,33,20
457,3,13,8,32,56
458,3,13,9,33,0
459,3,14,1,32,52
460,3,14,2,32,34
461,3,14,3,32,5
462,3,14,4,32,49
463,3,14,5,34,33
464,3,14,6,30,22
465,3,14,7,33,29
466,3,14,8,32,8
467,3,14,9,31,57
468,3,15,1,33,35
469,3,15,2,34,53
470,3,15,3,32,40
471,3,15,4,31,9
472,3,15,5,32,50
473,3,15,6,33,15
474,3,15,7,34,32
475,3,15,8,34,26
476,3,15,9,33,22
477,3,16,1,35,26
478,3,16,2,34,57
479,3,16,3,33,38
480,3,16,4,33,37
481,3,16,5,32,7
482,3,16,6,34,16
483,3,16,7,33,20
484,3,16,8,30,52
485,3,16,9,33,15
486,3,17,1,33,47
487,3,17,2,33,59
488,3,17,3,33,11
489,3,17,4,33,4
490,3,17,5,34,13
491,3,17,6,33,26
492,3,17,7,33,6
493,3,17,8,33,33
494,3,17,9,33,53
495,3,18,1,33,38
496,3,18,2,32,12
497,3,18,3,33,46
498,3,18,4,33,48
499,3,18,5,34,58
500,3,18,6,32,3
501,3,18,7,33,2
502,3,18,8,34,50
503,3,18,9,34,10
504,3,19,1,33,2
505,3,19,2,33,19
506,3,19,3,32,29
507,3,19,4,34,31
508,3,19,5,32,54
509,3,19,6,32,40
510,3,19,7,35,33
511,3,19,8,34,12
512,3,19,9,32,52
513,4,1,1,31,55
514,4,1,2,30,39
515,4,1,3,29,49
516,4,1,4,32,3
517,4,1,5,32,15
518,4,1,6,31,32
519,4,1,7,29,15
520,4,1,8,30,52
521,4,1,9,33,46
522,4,2,1,32,11
523,4,2,2,32,59
524,4,2,3,30,14
525,4,2,4,31,25
526,4,2,5,30,6
527,4,2,6,29,15
528,4,2,7,28,56
529,4,2,8,32,49
530,4,2,9,31,4
531,4,3,1,29,32
532,4,3,2,29,5
533,4,3,3,29,2
534,4,3,4,30,34
535,4,3,5,30,26
536,4,3,6,27,49
537,4,3,7,29,10
538,4,3,8,29,29
539,4,3,9,31,17
540,4,4,1,28,6
541,4,4,2,28,52
542,4,4,3,29,1
543,4,4,4,29,22
544,4,4,5,27,27
545,4,4,6,29,20
546,4,4,7,26,59
547,4,4,8,28,24
548,4,4,9,29,43
549,4,5,1,27,53
550,4,5,2,29,14
551,4,5,3,28,48
552,4,5,4,28,10
553,4,5,5,28,54
554,4,5,6,28,2
555,4,5,7,28,58
556,4,5,8,28,48
557,4,5,9,28,50
558,4,6,1,29,2
559,4,6,2,28,34
560,4,6,3,29,58
561,4,6,4,30,36
562,4,6,5,28,42
563,4,6,6,28,29
564,4,6,7,29,41
565,4,6,8,28,21
566,4,6,9,27,13
567,4,7,1,29,41
568,4,7,2,28,41
569,4,7,3,28,27
570,4,7,4,29,35
571,4,7,5,28,13
572,4,7,6,29,6
573,4,7,7,28,34
574,4,7,8,28,54
575,4,7,9,28,27
576,4,8,1,29,59
577,4,8,2,28,43
578,4,8,3,30,28
579,4,8,4,30,25
580,4,8,5,28,23
581,4,8,6,31,36
582,4,8,7,27,59
583,4,8,8,29,17
584,4,8,9,28,29
585,4,9,1,28,58
586,4,9,2,29,27
587,4,9,3,28,51
588,4,9,4,27,9
589,4,9,5,27,39
590,4,9,6,30,7
591,4,9,7,29,28
592,4,9,8,29,48
593,4,9,9,29,10
594,4,10,1,28,59
595,4,10,2,28,60
596,4,10,3,30,11
597,4,10,4,28,28
598,4,10,5,29,33
599,4,10,6,28,20
600,4,10,7,27,54
601,4,10,8,30,49
602,4,10,9,30,3
603,4,11,1,30,58
604,4,11,2,30,3
605,4,11,3,28,0
606,4,11,4,27,32
607,4,11,5,28,41
608,4,11,6,27,13
609,4,11,7,30,6
610,4,11,8,27,59
611,4,11,9,28,46
612,4,12,1,28,42
613,4,12,2,28,51
614,4,12,3,29,6
615,4,12,4,28,8
616,4,12,5,27,42
617,4,12,6,29,48
618,4,12,7,29,42
619,4,12,8,29,1
620,4,12,9,28,39
621,4,13,1,27,42
622,4,13,2,28,31
623,4,13,3,28,41
624,4,13,4,28,24
625,4,13,5,28,14
626,4,13,6,29,14
627,4,13,7,29,57
628,4,13,8,28,20
629,4,13,9,28,57
630,4,14,1,30,42
631,4,14,2,28,29
632,4,14,3,30,9
633,4,14,4,28,40
634,4,14,5,28,46
635,4,14,6,29,48
636,4,14,7,27,35
637,4,14,8,29,29
638,4,14,9,28,34
639,4,15,1,29,45
640,4,15,2,29,9
641,4,15,3,29,3
642,4,15,4,28,52
643,4,15,5,29,54
644,4,15,6,28,42
645,4,15,7,29,54
646,4,15,8,28,7
647,4,15,9,28,26
648,4,16,1,29,7
649,4,16,2,29,8
650,4,16,3,28,17
651,4,16,4,30,19
652,4,16,5,30,9
653,4,16,6,28,34
654,4,16,7,29,10
655,4,16,8,28,59
656,4,16,9,29,20
657,4,17,1,28,18
658,4,17,2,30,14
659,4,17,3,29,44
660,4,17,4,28,17
661,4,17,5,29,49
662,4,17,6,25,43
663,4,17,7,30,60
664,4,17,8,28,26
665,4,17,9,28,43
666,4,18,1,29,36
667,4,18,2,27,42
668,4,18,3,29,9
669,4,18,4,29,21
670,4,18,5,28,56
671,4,18,6,27,40
672,4,18,7,27,43
673,4,18,8,28,27
674,4,18,9,26,13
675,4,19,1,29,56
676,4,19,2,28,45
677,4,19,3,30,13
678,4,19,4,27,40
679,4,19,5,28,11
680,4,19,6,28,57
681,4,19,7,28,45
682,4,19,8,31,18
683,4,19,9,28,26
684,5,1,1,24,42
685,5,1,2,25,41
686,5,1,3,26,0
687,5,1,4,26,43
688,5,1,5,27,2
689,5,1,6,29,11
690,5,1,7,26,21
691,5,1,8,28,38
692,5,1,9,27,17
693,5,2,1,27,40
694,5,2,2,29,31
695,5,2,3,26,25
696,5,2,4,28,18
697,5,2,5,29,5
698,5,2,6,26,41
699,5,2,7,27,35
700,5,2,8,27,5
701,5,2,9,26,34
702,5,3,1,26,42
703,5,3,2,26,8
704,5,3,3,28,3
705,5,3,4,25,48
706,5,3,5,26,26
707,5,3,6,28,31
708,5,3,7,25,41
709,5,3,8,24,29
710,5,3,9,29,15
711,5,4,1,29,2
712,5,4,2,26,26
713,5,4,3,24,44
714,5,4,4,23,41
715,5,4,5,24,40
716,5,4,6,25,34
717,5,4,7,23,33
718,5,4,8,24,60
719,5,4,9,26,46
720,5,5,1,26,12
721,5,5,2,25,23
722,5,5,3,23,26
723,5,5,4,25,41
724,5,5,5,24,45
725,5,5,6,25,52
726,5,5,7,24,32
727,5,5,8,24,58
728,5,5,9,24,19
729,5,6,1,25,20
730,5,6,2,24,0
731,5,6,3,25,45
732,5,6,4,24,56
733,5,6,5,23,36
734,5,6,6,26,14
735,5,6,7,23,46
736,5,6,8,27,15
737,5,6,9,25,12
738,5,7,1,24,26
739,5,7,2,24,44
740,5,7,3,25,10
741,5,7,4,25,37
742,5,7,5,24,2
743,5,7,6,24,55
744,5,7,7,24,17
745,5,7,8,24,10
746,5,7,9,24,45
747,5,8,1,23,38
748,5,8,2,25,15
749,5,8,3,26,12
750,5,8,4,25,57
751,5,8,5,25,12
752,5,8,6,26,16
753,5,8,7,27,13
754,5,8,8,22,51
755,5,8,9,24,11
756,5,9,1,25,55
757,5,9,2,24,11
758,5,9,3,25,25
759,5,9,4,26,42
760,5,9,5,25,4
761,5,9,6,24,33
762,5,9,7,25,5
763,5,9,8,25,44
764,5,9,9,24,45
765,5,10,1,26,24
766,5,10,2,25,37
767,5,10,3,23,43
768,5,10,4,24,40
769,5,10,5,26,13
770,5,10,6,24,49
771,5,10,7,24,25
772,5,10,8,24,15
773,5,10,9,25,56
774,5,11,1,23,49
775,5,11,2,24,51
776,5,11,3,24,20
777,5,11,4,25,17
778,5,11,5,25,19
779,5,11,6,26,6
780,5,11,7,26,36
781,5,11,8,24,2
782,5,11,9,25,35
783,5,12,1,24,0
784,5,12,2,24,24
785,5,12,3,24,33
786,5,12,4,23,49
787,5,12,5,24,52
788,5,12,6,24,47
789,5,12,7,24,32
790,5,12,8,24,8
791,5,12,9,24,24
792,5,13,1,23,49
793,5,13,2,26,30
794,5,13,3,25,18
795,5,13,4,24,57
796,5,13,5,25,17
797,5,13,6,23,51
798,5,13,7,25,54
799,5,13,8,24,30
800,5,13,9,23,19
801,5,14,1,23,17
802,5,14,2,25,41
803,5,14,3,23,52
804,5,14,4,26,16
805,5,14,5,25,47
806,5,14,6,25,13
807,5,14,7,26,28
808,5,14,8,24,35
809,5,14,9,24,9
810,5,15,1,24,55
811,5,15,2,24,32
812,5,15,3,23,24
813,5,15,4,25,3
814,5,15,5,25,17
815,5,15,6,25,14
816,5,15,7,26,43
817,5,15,8,23,47
818,5,15,9,22,54
819,5,16,1,25,28
820,5,16,2,25,25
821,5,16,3,25,35
822,5,16,4,23,24
823,5,16,5,25,19
824,5,16,6,25,7
825,5,16,7,24,20
826,5,16,8,25,38
827,5,16,9,22,48
828,5,17,1,25,32
829,5,17,2,25,5
830,5,17,3,24,39
831,5,17,4,25,35
832,5,17,5,25,41
833,5,17,6,24,27
834,5,17,7,25,1
835,5,17,8,23,44
836,5,17,9,25,1
837,5,18,1,25,34
838,5,18,2,25,33
839,5,18,3,23,34
840,5,18,4,24,1
841,5,18,5,23,27
842,5,18,6,23,28
843,5,18,7,24,9
844,5,18,8,24,56
845,5,18,9,25,15
846,5,19,1,24,7
847,5,19,2,24,45
848,5,19,3,24,28
849,5,19,4,24,18
850,5,19,5,25,48
851,5,19,6,24,49
852,5,19,7,25,21
853,5,19,8,23,18
854,5,19,9,26,49
855,6,1,1,24,20
856,6,1,2,23,53
857,6,1,3,25,1
858,6,1,4,21,36
859,6,1,5,23,7
860,6,1,6,25,0
861,6,1,7,23,10
862,6,1,8,20,26
863,6,1,9,24,55
864,6,2,1,24,37
865,6,2,2,26,58
866,6,2,3,24,4
867,6,2,4,24,25
868,6,2,5,21,49
869,6,2,6,24,45
870,6,2,7,27,12
871,6,2,8,23,10
872,6,2,9,24,58
873,6,3,1,23,34
874,6,3,2,22,33
875,6,3,3,24,44
876,6,3,4,23,38
877,6,3,5,26,7
878,6,3,6,25,57
879,6,3,7,23,26
880,6,3,8,21,28
881,6,3,9,22,2
882,6,4,1,18,56
883,6,4,2,22,58
884,6,4,3,21,37
885,6,4,4,22,26
886,6,4,5,23,29
887,6,4,6,22,19
888,6,4,7,21,44
889,6,4,8,22,47
890,6,4,9,23,6
891,6,5,1,18,59
892,6,5,2,21,17
893,6,5,3,20,51
894,6,5,4,20,27
895,6,5,5,20,39
896,6,5,6,20,30
897,6,5,7,21,48
898,6,5,8,21,57
899,6,5,9,20,35
900,6,6,1,20,58
901,6,6,2,20,21
902,6,6,3,19,42
903,6,6,4,21,27
904,6,6,5,21,40
905,6,6,6,21,15
906,6,6,7,19,32
907,6,6,8,21,54
908,6,6,9,20,55
909,6,7,1,22,45
910,6,7,2,19,37
911,6,7,3,21,20
912,6,7,4,19,50
913,6,7,5,21,33
914,6,7,6,20,17
915,6,7,7,19,19
916,6,7,8,20,46
917,6,7,9,20,37
918,6,8,1,21,25
919,6,8,2,20,2
920,6,8,3,20,50
921,6,8,4,19,58
922,6,8,5,20,26
923,6,8,6,19,7
924,6,8,7,19,18
925,6,8,8,22,15
926,6,8,9,20,29
927,6,9,1,20,36
928,6,9,2,21,59
929,6,9,3,19,34
930,6,9,4,21,2
931,6,9,5,18,8
932,6,9,6,19,15
933,6,9,7,21,48
934,6,9,8,20,19
935,6,9,9,21,45
936,6,10,1,19,15
937,6,10,2,19,21
938,6,10,3,21,13
939,6,10,4,22,30
940,6,10,5,21,9
941,6,10,6,19,5
942,6,10,7,21,39
943,6,10,8,20,7
944,6,10,9,21,16
945,6,11,1,20,33
946,6,11,2,21,55
947,6,11,3,20,30
948,6,11,4,20,52
949,6,11,5,21,2
950,6,11,6,20,36
951,6,11,7,20,6
952,6,11,8,19,26
953,6,11,9,21,24
954,6,12,1,20,31
955,6,12,2,18,36
956,6,12,3,22,6
957,6,12,4,20,14
958,6,12,5,21,7
959,6,12,6,20,25
960,6,12,7,20,31
961,6,12,8,21,9
962,6,12,9,21,9
963,6,13,1,19,35
964,6,13,2,21,32
965,6,13,3,20,53
966,6,13,4,19,12
967,6,13,5,22,32
968,6,13,6,20,24
969,6,13,7,20,2
970,6,13,8,21,13
971,6,13,9,19,38
972,6,14,1,20,52
973,6,14,2,19,46
974,6,14,3,21,19
975,6,14,4,21,1
976,6,14,5,21,5
977,6,14,6,20,24
978,6,14,7,20,33
979,6,14,8,21,1
980,6,14,9,21,7
981,6,15,1,19,56
982,6,15,2,21,0
983,6,15,3,20,44
984,6,15,4,21,5
985,6,15,5,18,60
986,6,15,6,21,12
987,6,15,7,21,57
988,6,15,8,19,19
989,6,15,9,20,52
990,6,16,1,19,38
991,6,16,2,20,14
992,6,16,3,20,49
993,6,16,4,21,29
994,6,16,5,20,14
995,6,16,6,20,39
996,6,16,7,19,55
