"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"1146",23.855,24.469999,23.7925,24.297501,371672000,21.669056
"1147",24.26,24.33,24.105,24.2575,182916000,21.633385
"1148",24.2125,24.459999,24.16,24.4175,173876000,21.776072
"1149",24.455,24.809999,24.387501,24.754999,221272000,22.077065
"1150",24.8325,24.860001,24.5625,24.594999,172572000,21.934372
"1151",24.610001,24.674999,24.4175,24.5375,132040000,21.883093
"1152",24.290001,24.362499,23.8325,23.9,227372000,21.314556
"1153",23.725,24.155001,23.702499,24.032499,194044000,21.432718
"1154",24.092501,24.145,23.7925,23.897499,159832000,21.312325
"1155",23.84,23.92,23.59,23.780001,223732000,21.207537
"1156",23.6875,23.870001,23.6775,23.74,154232000,21.171865
"1157",23.7325,23.987499,23.525,23.620001,186844000,21.169624
"1158",23.565001,23.705,23.32,23.684999,167460000,21.22788
"1159",23.817499,24.02,23.709999,23.997499,146340000,21.507959
"1160",24.01,24.219999,23.9025,23.9925,135180000,21.503485
"1161",24.0375,24.309999,24.01,24.309999,127664000,21.788038
"1162",24.3325,24.3925,24.200001,24.375,112464000,21.846298
"1163",24.475,24.547501,24.215,24.495001,195804000,21.953848
"1164",24.622499,24.842501,24.495001,24.790001,190288000,22.218248
"1165",24.852501,25.17,24.83,25.1325,277596000,22.525215
"1166",25.110001,25.272499,24.987499,25.1425,210796000,22.534178
"1167",25.1425,25.235001,25.0275,25.145,133912000,22.536415
"1168",25.0725,25.3675,25.047501,25.33,176736000,22.702219
"1169",25.4475,25.5425,25.32,25.385,161080000,22.751514
"1170",25.355,25.375,25.215,25.2225,132608000,22.605873
"1171",25.254999,25.6425,25.174999,25.532499,209476000,22.883722
"1172",25.397499,25.695,25.389999,25.5625,273840000,22.910601
"1173",25.715,25.725,25.549999,25.625,178380000,22.966619
"1174",25.764999,25.934999,25.68,25.825001,214256000,23.145872
"1175",25.775,25.799999,24.645,24.735001,501684000,22.168953
"1176",24.7125,25.022499,24.4475,24.530001,342872000,21.985216
"1177",24.700001,24.8475,24.577499,24.7425,233828000,22.175674
"1178",24.825001,24.827499,24.512501,24.59,185426800,22.038998
"1179",24.77,25.77,24.035,24.497499,759385200,21.956087
"1180",24.502501,25.2775,24.440001,25.25,403478400,22.630527
"1181",25.102501,25.360001,24.905001,25.3575,249412400,22.726873
"1182",25.3025,25.547501,25.27,25.415001,250504400,22.77841
"1183",25.702499,25.762501,25.360001,25.407499,245266000,22.771687
"1184",24.950001,25.315001,24.7225,25.215,267632400,22.599157
"1185",25.317499,25.450001,25.147499,25.395,243706000,22.760483
"1186",25.4825,25.5875,25.389999,25.4475,149197600,22.807537
"1187",25.5725,25.5875,25.125,25.24,283609600,22.621559
"1188",25.450001,25.535,25.145,25.264999,211153600,22.643965
"1189",25.15,25.735001,25.135,25.66,253608800,22.997992
"1190",25.540001,25.7125,25.299999,25.4375,240687200,22.798573
"1191",25.127501,25.1775,24.43,24.467501,400368000,21.929209
"1192",24.6325,25.1875,24.6,25.1875,249482000,22.574505
"1193",24.6625,25.110001,24.657499,25.0275,199065200,22.431107
"1194",25.202499,25.385,25.1325,25.1875,221056400,22.574505
"1195",25.147499,25.172501,24.674999,24.795,205965200,22.222725
"1196",24.817499,25.055,24.51,24.975,191031200,22.384052
"1197",24.860001,25.0525,24.76,24.905001,173878400,22.32131
"1198",24.987499,25.1625,24.855,24.905001,148204800,22.32131
"1199",24.8575,25.030001,24.682501,24.6875,168376800,22.126379
"1200",24.690001,25.2775,24.577499,25.200001,229618800,22.585707
"1201",25.385,25.594999,25.1525,25.254999,309506000,22.635002
"1202",25.172501,25.5075,25.075001,25.182501,265326400,22.570028
"1203",25.3325,25.445,24.952499,24.952499,214333600,22.363882
"1204",25.0975,25.129999,24.6425,24.6875,254754400,22.126379
"1205",24.4925,24.7875,23.795,24.385,403734400,21.855257
"1206",23.887501,24.43,23.852501,24.065001,288618000,21.568464
"1207",24.375,24.75,24.202499,24.4175,272718800,21.884388
"1208",24.58,24.99,24.555,24.940001,310069200,22.352686
"1209",25.754999,25.754999,25.317499,25.6175,378495600,22.9599
"1210",25.709999,26.0275,25.65,25.747499,273052400,23.076406
"1211",26.02,26.262501,25.907499,26.2075,284298800,23.488691
"1212",26.295,26.372499,26.1325,26.305,188215600,23.576069
"1213",26.2125,26.370001,26.174999,26.2775,136750800,23.551432
"1214",26.35,26.684999,26.3375,26.684999,192243600,23.916651
"1215",26.6625,26.842501,26.59,26.834999,210751600,24.051092
"1216",26.74,26.8375,26.475,26.745001,162619200,23.970428
"1217",27.002501,27.01,26.8025,27,178557200,24.198971
"1218",27.055,27.575001,27.002501,27.35,209130400,24.512667
"1219",27.34,27.372499,26.93,27.15,166297600,24.333414
"1220",27.275,27.325001,27.032499,27.215,149743600,24.391668
"1221",27.15,27.1975,26.950001,27.174999,139874000,24.461433
"1222",27.1875,27.33,27.137501,27.252501,134766000,24.531197
"1223",27.254999,27.3325,27.1675,27.2075,108782000,24.490694
"1224",27.174999,27.4375,27.1,27.424999,109769200,24.686464
"1225",27.344999,27.8575,27.342501,27.8125,187769600,25.035278
"1226",27.950001,28.362499,27.9,28.205,238091600,25.388582
"1227",28.2875,28.547501,27.8025,28.545,176254400,25.69463
"1228",28.567499,29.32,28.325001,28.497499,186986800,25.651878
"1229",28.485001,28.922501,28.4725,28.8675,176896000,25.984928
"1230",28.860001,28.934999,28.450001,28.6675,167476800,25.804903
"1231",28.727501,29.215,28.7125,29.077499,173582000,26.17396
"1232",29.377501,29.3925,29.0075,29.1175,228717200,26.209963
"1233",29.2125,29.692499,29.155001,29.657499,189803200,26.696037
"1234",29.7675,29.9375,29.362499,29.4,275361600,26.464252
"1235",29.485001,29.775,29.4575,29.75,163073200,26.779306
"1236",29.817499,29.85,29.512501,29.7325,99257600,26.763548
"1237",29.702499,29.8125,27.817499,28.7675,335256000,25.894915
"1238",28.375,28.9375,28.1875,28.657499,237395600,25.795895
"1239",28.9375,29.0875,28.7775,28.9825,172253600,26.088446
"1240",28.942499,29.299999,28.8225,28.872499,168178000,25.989429
"1241",28.997499,29.02,28.66,28.75,153275600,25.879156
"1242",28.525,28.6625,27.905001,28.1,230659600,25.294065
"1243",27.547501,28.575001,27.3375,28.530001,240832000,25.681131
"1244",28.602501,28.7125,27.885,27.987499,178261200,25.192799
"1245",28.065001,28.450001,27.834999,27.905001,165606800,25.11854
"1246",27.615,27.967501,27.395,27.432501,224112400,24.69322
"1247",27.674999,27.9,26.5875,27.057501,268872400,24.355669
"1248",26.592501,27.540001,26.565001,26.6875,243162800,24.022608
"1249",26.780001,27.459999,26.705,27.352501,213647200,24.621214
"1250",27.967501,28.1625,27.665001,28.1625,236024800,25.350325
"1251",28.065001,28.309999,27.915001,27.945,353719200,25.154547
"1252",28.040001,28.372499,27.9925,28.235001,180670000,25.415585
"1253",28.307501,28.3325,28.115,28.135,104113600,25.325573
"1254",28.145,28.1775,28.002501,28.002501,57918400,25.206299
"1255",28.025,28.629999,28.002501,28.497499,134884000,25.651878
"1256",28.4475,28.692499,28.424999,28.477501,110395600,25.633871
"1257",28.41,28.48,28.0275,28.129999,119526000,25.32107
"1258",28.205,28.282499,27.5525,27.594999,165613600,24.839491
"1259",27.8475,27.860001,26.8375,27.3325,212818400,24.603207
"1260",27.0725,27.1625,26.352501,26.5625,257142000,23.910095
"1261",26.635,26.8575,26.157499,26.565001,263188400,23.912346
"1262",26.799999,27.049999,26.674999,26.9375,160423600,24.24765
"1263",27.307501,28.0375,27.174999,27.9725,237458000,25.179302
"1264",28.1675,28.3125,27.5525,28.002501,214798000,25.206299
"1265",28.15,28.157499,27.200001,27.3125,198603200,24.585201
"1266",27.8575,28.200001,27.227501,27.555,268367600,24.803486
"1267",27.26,27.622499,27.125,27.450001,195826400,24.708971
"1268",27.5,27.514999,26.665001,26.705,240056000,24.038359
"1269",26.7575,26.895,26.299999,26.497499,314053200,23.85158
"1270",26.959999,27.2425,26.625,27.18,199599600,24.465931
"1271",27.237499,27.764999,27.067499,27.387501,194303600,24.652714
"1272",27.565001,28.1175,27.43,28.1,215185600,25.294065
"1273",28.075001,28.4375,27.8825,28.245001,185859200,25.424585
"1274",28.434999,28.59,28.200001,28.275,222460000,25.451593
