,ORDER_ID,PRODUCT_ID,PAYMENT_METHOD,TOTAL_VALUE,CREATED_AT,STORE_TO_USER_DISTANCE,OBSF_USER_ID,OBSF_STORE_TYPE
1915,35411455,2090262510,cash,2298.0,2019-04-16 14:36:30+00:00,1859.0,9935,4
1916,35411586,2090262510,cash,2298.0,2019-04-16 14:43:52+00:00,969.0,8548,4
1917,35397436,2090262510,cash,496.0,2019-04-15 16:11:16+00:00,5223.0,236,4
1918,35411531,2090262510,cc,13992.0,2019-04-16 14:40:21+00:00,1194.0,13688,4
1919,35412286,2090262510,cash,1296.0,2019-04-16 15:28:37+00:00,2222.0,6317,4
1920,35412541,2090262510,cash,0.0,2019-04-16 15:48:08+00:00,3331.0,6796,4
1921,35412758,2090262510,cash,496.0,2019-04-16 16:04:46+00:00,3331.0,8229,4
1922,35413884,2090262510,cash,0.0,2019-04-16 17:24:16+00:00,5144.0,13152,16
1923,35413531,2090262510,cc,10494.0,2019-04-16 16:58:44+00:00,2730.0,3354,4
1924,35414730,2090262510,cc,22278.0,2019-04-16 18:19:01+00:00,1017.0,3440,16
1925,35416941,2090262545,cash,2200.0,2019-04-16 19:45:12+00:00,4973.0,5476,16
1926,35417931,2090262545,cc,14280.0,2019-04-16 20:14:06+00:00,3729.0,5772,4
1927,35400509,2090262545,cc,1430.0,2019-04-15 19:06:56+00:00,1718.0,22981,4
1928,35403975,2090262545,cc,2788.41,2019-04-15 21:05:46+00:00,2388.0,415,16
1929,35420247,2090262547,cc,35770.0,2019-04-16 21:44:19+00:00,1524.0,10856,4
1930,35408184,2090262547,cc,64920.0,2019-04-16 12:14:30+00:00,1682.0,3232,4
1931,35413289,2090262547,cc,65180.0,2019-04-16 16:42:23+00:00,1354.0,12271,16
1932,35415957,2090263701,cc,24900.0,2019-04-16 19:15:19+00:00,3106.0,5372,4
1933,35408184,2090263786,cc,64920.0,2019-04-16 12:14:30+00:00,1682.0,3232,4
1934,35393831,2090263795,cash,790.0,2019-04-15 12:53:25+00:00,1398.0,4835,4
1935,35415242,2090263795,cc,2990.0,2019-04-16 18:46:30+00:00,3992.0,16222,4
1936,35409932,2090266826,cc,1285.0,2019-04-16 13:29:56+00:00,1994.0,3085,58
1937,35399400,2090267835,cash,0.0,2019-04-15 18:15:28+00:00,2252.0,13261,71
1938,35420540,2090267841,cash,3990.0,2019-04-16 22:01:19+00:00,1396.0,18476,45
1939,35397091,2090236084,cc,3801.0,2019-04-15 15:47:21+00:00,3339.0,4150,7
1940,35418100,2090267951,cc,15792.0,2019-04-16 20:19:42+00:00,2676.0,15300,4
1941,35418587,2090267951,cc,15792.0,2019-04-16 20:36:49+00:00,2062.0,19859,4
1942,35402259,2090267951,cc,13992.0,2019-04-15 20:06:10+00:00,972.0,17072,4
1943,35411729,2090267951,cc,16792.0,2019-04-16 14:52:39+00:00,1236.0,55609978,4
1944,35419787,2090267951,cc,13992.0,2019-04-16 21:21:44+00:00,2115.0,4669,4
1945,35394692,2090267953,cc,11880.0,2019-04-15 13:34:09+00:00,5031.0,16448,16
1946,35415301,2090267953,cc,7118.0,2019-04-16 18:49:36+00:00,1397.0,4396,4
1947,35404665,2090267953,cc,5220.0,2019-04-15 21:26:42+00:00,3268.0,3366,16
1948,35414430,2090269341,cc,8990.0,2019-04-16 17:59:17+00:00,2089.0,5286,36
1949,35405013,2090269866,cc,35430.0,2019-04-15 21:41:43+00:00,1761.0,41,36
1950,35405013,2090270117,cc,35430.0,2019-04-15 21:41:43+00:00,1761.0,41,36
1951,35405013,2090270792,cc,35430.0,2019-04-15 21:41:43+00:00,1761.0,41,36
1952,35405013,2090270893,cc,35430.0,2019-04-15 21:41:43+00:00,1761.0,41,36
1953,35405013,2090270979,cc,35430.0,2019-04-15 21:41:43+00:00,1761.0,41,36
1954,35399975,2090271024,cash,0.0,2019-04-15 18:43:10+00:00,3100.0,3940,36
1955,35405013,2090271055,cc,35430.0,2019-04-15 21:41:43+00:00,1761.0,41,36
1956,35405013,2090271173,cc,35430.0,2019-04-15 21:41:43+00:00,1761.0,41,36
1957,35407984,2090272411,cc,19200.0,2019-04-16 11:58:05+00:00,4084.0,1037,83
1958,35407984,2090272418,cc,19200.0,2019-04-16 11:58:05+00:00,4084.0,1037,83
1959,35407984,2090272426,cc,19200.0,2019-04-16 11:58:05+00:00,4084.0,1037,83
1960,35407984,2090272437,cc,19200.0,2019-04-16 11:58:05+00:00,4084.0,1037,83
1961,35407984,2090272439,cc,19200.0,2019-04-16 11:58:05+00:00,4084.0,1037,83
1962,35415009,2090272734,cc,23700.0,2019-04-16 18:34:04+00:00,1554.0,8443,4
1963,35416817,2090272734,cash,25500.0,2019-04-16 19:42:09+00:00,4827.0,15302,16
1964,35398814,2090272734,cc,19241.6,2019-04-15 17:39:26+00:00,2396.0,17523,4
1965,35401882,2090272734,cash,23700.0,2019-04-15 19:53:37+00:00,1836.0,11504,4
1966,35408184,2090272734,cc,64920.0,2019-04-16 12:14:30+00:00,1682.0,3232,4
1967,35413289,2090272734,cc,65180.0,2019-04-16 16:42:23+00:00,1354.0,12271,16
1968,35398069,2090272734,cc,20310.0,2019-04-15 16:50:26+00:00,2214.0,14706,4
1969,35398243,2090272734,cc,33100.0,2019-04-15 17:00:14+00:00,2462.0,7421,16
1970,35414496,2090272734,cc,35140.0,2019-04-16 18:03:22+00:00,1573.0,5548,4
1971,35414789,2090272734,cc,23700.0,2019-04-16 18:22:06+00:00,4279.0,8506,16
1972,35396454,2090272893,cash,0.0,2019-04-15 15:09:14+00:00,2149.0,22456,71
